Index,500,501,502,503,504,506,507,508,509,512,513,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,454,545,546,547
GiveItemCount,1,1,1,1,1,0,0,0,0,100,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1000,1,1,1,0,75,1,0,0,1,0,0
TakeItemIndex,0,0,0,56536,54005,0,0,0,0,0,54310,0,0,0,0,0,0,52005,0,0,54335,0,52004,54336,54337,52804,54334,0,0,0,0,0,0,0,5506,5507,0,0,0,0,0,0,0,0
PriceCount,50,50,100,1500,1000,0,0,0,0,800,2000,100,100,100,0,0,0,1,0,0,3,0,3,3,3,3,1,0,40,100,250,0,200,100,200,1550,0,200,1850,0,0,1850,0,0
ItemDescription,Strengthened Dark Eye,Zevach's Ring,Almighty Wings of the Aloken,0,Wings of The Chosen One (Aloken),0,0,0,0,Crystal Argates,Fafnir Level 4 Wings (Aloken),[Summoner]Dragon Canine,0,[Half Bagi]Blood Defense,0,0,0,Fafnir Wings (Aloken),0,0,0,0,0,0,0,0,Ghost Fafnir Wings (Aloken),0,Blacksmith's Talisman 5,Taeguk Flag,Critical Damage 5%,0,0,Blazing Wings,Blazing Wings +2,Blazing Wings +3,0,Cyan Candy,Almighty Aloken Gold,0,0,Fafnir Wings (Aloken),0,0
GiveItemIndex,56535,56536,54006,0,54311,0,0,0,0,9908,54335,4372,0,54870,0,0,0,54335,0,0,0,0,0,0,0,0,52005,0,65297,19486,6550,0,0,4559,4565,4570,0,3848,3586,0,0,54335,0,0
GiveItemCount,1,1,1,0,1,0,0,0,0,100,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,1,1,1,0,75,1,0,0,1,0,0
TakeItemIndex,64046,0,0,0,54006,0,0,0,0,0,54311,0,0,0,0,0,0,52005,0,0,0,0,0,0,0,0,54335,0,0,0,0,0,0,0,4559,4565,0,0,0,0,0,0,0,0
PriceCount,50,200,100,0,1000,0,0,0,0,1000,2000,100,0,100,0,0,0,1,0,0,0,0,0,0,0,0,1,0,50,100,750,0,0,100,200,1550,0,200,1850,0,0,1850,0,0
ItemDescription,Gibor's Necklace,0,Almighty Wings of the Segeuriper,0,Wings of the Chosen One Segeuriper,0,0,0,0,Obsideons,Fafnir Level 4 Wings (Segeuriper),[Summoner]Death Penalty,0,[Half Bagi]Anger Hallucination,0,0,0,Fafnir Wings (Segeuriper),0,0,0,0,0,0,0,0,Ghost Fafnir Wings (Segeuriper),0,Travelers Backpack,Halloween Staff,Max Medial +250,0,0,Blazing2 Wings,Blazing2 Wings +2,Blazing2 Wings +3,0,Magenta Candy,0,0,0,Fafnir Wings (Segeuriper),0,0
GiveItemIndex,56538,0,51205,0,51206,0,0,0,0,6103,54337,4373,0,54871,0,0,0,54337,0,0,0,0,0,0,0,0,52005,0,65294,19487,6312,0,0,5509,5510,5511,0,3847,0,0,0,54337,0,0
GiveItemCount,1,0,1,0,1,0,0,0,0,100,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,75,0,0,0,1,0,0
TakeItemIndex,0,0,0,0,51205,0,0,0,0,0,51206,0,0,0,0,0,0,52005,0,0,0,0,0,0,0,0,54337,0,0,0,0,0,0,0,5509,5510,0,0,0,0,0,0,0,0
PriceCount,80,0,100,0,1000,0,0,0,0,1000,2000,100,0,100,0,0,0,1,0,0,0,0,0,0,0,0,1,0,50,100,250,0,0,100,200,1550,0,200,0,0,0,1850,0,0
ItemDescription,0,0,Almighty Wings of the Concerra,0,Wings of the Chosen One Concerra,0,0,0,0,Defeat Rate,Fafnir Level 4 Wings (Concerra),0,0,0,0,0,0,Fafnir Wings (Concerra),0,0,0,0,0,0,0,0,Ghost Fafnir Wings (Concerra),0,0,Death Scorpion Nipper,Max Pyramid 5%,0,0,0,0,0,0,0,0,0,0,Fafnir Wings (Concerra),0,0
GiveItemIndex,0,0,50405,0,50406,0,0,0,0,6504,54336,0,0,0,0,0,0,54336,0,0,0,0,0,0,0,0,52005,0,0,19488,6310,0,0,0,0,0,0,0,0,0,0,54336,0,0
GiveItemCount,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TakeItemIndex,0,0,0,0,50405,0,0,0,0,0,50406,0,0,0,0,0,0,52005,0,0,0,0,0,0,0,0,54336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PriceCount,0,0,100,0,1000,0,0,0,0,1000,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,100,250,0,0,0,0,0,0,0,0,0,0,1850,0,0
ItemDescription,0,0,Almighty Wings of the Dark Magician,0,Wings of the Chosen One Wizard,0,0,0,0,0,Fafnir Level 4 Wings (Wizard),0,0,0,0,0,0,Fafnir Wings (Wizard),0,0,0,0,0,0,0,0,Ghost Fafnir Wings (Wizard),0,0,0,Max Rhombus 5%,0,0,0,0,0,0,0,0,0,0,Fafnir Wings (Wizard),0,0
GiveItemIndex,0,0,52002,0,52003,0,0,0,0,0,52004,0,0,0,0,0,0,52004,0,0,0,0,0,0,0,0,52005,0,0,0,6308,0,0,0,0,0,0,0,0,0,0,52004,0,0
GiveItemCount,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TakeItemIndex,0,0,0,0,52002,0,0,0,0,0,52003,0,0,0,0,0,0,52005,0,0,0,0,0,0,0,0,52004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PriceCount,0,0,100,0,1000,0,0,0,0,0,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,250,0,0,0,0,0,0,0,0,0,0,1850,0,0
ItemDescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GiveItemIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GiveItemCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TakeItemIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PriceCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ItemDescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GiveItemIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GiveItemCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TakeItemIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PriceCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
