9/9/2008 10:45,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,No Data,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape,Column1
19113,Abrasax Boots +3,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2423,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,3,0,0,0,0,57,57,0,0,0,0,0,0,19112,19114,0,0,1,0,0,
19114,Abrasax Boots +4,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2424,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,4,0,0,0,0,61,61,0,0,0,0,0,0,19113,19115,0,0,1,0,0,
19115,Abrasax Boots +5,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2425,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,5,0,0,0,0,65,65,0,0,0,0,0,0,19114,19116,0,0,1,0,0,
19116,Abrasax Boots +6,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2426,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,5,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,6,0,0,0,0,71,71,0,0,0,0,0,0,19115,19117,0,0,1,0,0,
19117,Abrasax Boots +7,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2427,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,6,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,7,0,0,0,0,80,80,0,0,0,0,0,0,19116,19118,0,0,1,0,0,
19118,Abrasax Boots +8,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2428,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,7,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,8,0,0,0,0,90,90,0,0,0,0,0,0,19117,19119,0,0,1,0,0,
19119,Abrasax Boots +9,0,5,3,0,1283,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,77,24846,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2429,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0,0,0,0,0,0,0,0,2012,2013,2013,2013,2015,2015,9,0,0,0,0,103,103,0,0,0,0,0,0,19118,0,0,0,1,0,0,
807,Abrasax Glove,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,0,0,0,0,0,47,47,0,0,0,0,0,0,0,18121,0,0,1,0,0,
18121,Abrasax Glove +1,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,1,0,0,0,0,49,49,0,0,0,0,0,0,807,18122,0,0,1,0,0,
18122,Abrasax Glove +2,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,2,0,0,0,0,52,52,0,0,0,0,0,0,18121,18123,0,0,1,0,0,
18123,Abrasax Glove +3,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,3,0,0,0,0,55,55,0,0,0,0,0,0,18122,18124,0,0,1,0,0,
18124,Abrasax Glove +4,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,4,0,0,0,0,59,59,0,0,0,0,0,0,18123,18125,0,0,1,0,0,
18125,Abrasax Glove +5,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2125,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,4,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,5,0,0,0,0,63,63,0,0,0,0,0,0,18124,18126,0,0,1,0,0,
18126,Abrasax Glove +6,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,5,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,6,0,0,0,0,69,69,0,0,0,0,0,0,18125,18127,0,0,1,0,0,
18127,Abrasax Glove +7,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,6,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,7,0,0,0,0,78,78,0,0,0,0,0,0,18126,18128,0,0,1,0,0,
18128,Abrasax Glove +8,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,7,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,8,0,0,0,0,88,88,0,0,0,0,0,0,18127,18129,0,0,1,0,0,
18129,Abrasax Glove +9,0,5,4,0,1284,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,78,20862,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2129,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,10,0,0,0,0,0,0,0,0,0,0,2022,2023,2023,2023,2025,2025,9,0,0,0,0,101,101,0,0,0,0,0,0,18128,0,0,0,1,0,0,
857,Abrasax Helmet,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2260,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,0,0,0,0,0,97,97,0,0,0,0,0,0,0,18671,0,0,1,0,0,
18671,Abrasax Helmet +1,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2261,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,1,0,0,0,0,99,99,0,0,0,0,0,0,857,18672,0,0,1,0,0,
18672,Abrasax Helmet +2,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2262,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,2,0,0,0,0,102,102,0,0,0,0,0,0,18671,18673,0,0,1,0,0,
18673,Abrasax Helmet +3,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2263,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,3,0,0,0,0,106,106,0,0,0,0,0,0,18672,18674,0,0,1,0,0,
18674,Abrasax Helmet +4,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2264,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,4,0,0,0,0,111,111,0,0,0,0,0,0,18673,18675,0,0,1,0,0,
18675,Abrasax Helmet +5,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2265,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,5,0,0,0,0,117,117,0,0,0,0,0,0,18674,18676,0,0,1,0,0,
18676,Abrasax Helmet +6,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2266,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,6,0,0,0,0,127,127,0,0,0,0,0,0,18675,18677,0,0,1,0,0,
18677,Abrasax Helmet +7,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2267,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,7,0,0,0,0,138,138,0,0,0,0,0,0,18676,18678,0,0,1,0,0,
18678,Abrasax Helmet +8,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2268,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,8,0,0,0,0,150,150,0,0,0,0,0,0,18677,18679,0,0,1,0,0,
18679,Abrasax Helmet +9,0,5,0,0,1280,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,80,34495,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2269,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,2042,2043,2043,2045,2045,9,0,0,0,0,165,165,0,0,0,0,0,0,18678,0,0,0,1,0,0,
757,Abrasax Pants,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,0,0,0,0,0,81,81,0,0,0,0,0,0,0,17581,0,0,1,0,0,
17581,Abrasax Pants +1,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,1,0,0,0,0,83,83,0,0,0,0,0,0,757,17582,0,0,1,0,0,
17582,Abrasax Pants +2,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,2,0,0,0,0,86,86,0,0,0,0,0,0,17581,17583,0,0,1,0,0,
17583,Abrasax Pants +3,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,3,0,0,0,0,90,90,0,0,0,0,0,0,17582,17584,0,0,1,0,0,
17584,Abrasax Pants +4,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,4,0,0,0,0,95,95,0,0,0,0,0,0,17583,17585,0,0,1,0,0,
17585,Abrasax Pants +5,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,5,0,0,0,0,101,101,0,0,0,0,0,0,17584,17586,0,0,1,0,0,
17586,Abrasax Pants +6,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,6,0,0,0,0,111,111,0,0,0,0,0,0,17585,17587,0,0,1,0,0,
17587,Abrasax Pants +7,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,7,0,0,0,0,122,122,0,0,0,0,0,0,17586,17588,0,0,1,0,0,
17588,Abrasax Pants +8,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,8,0,0,0,0,134,134,0,0,0,0,0,0,17587,17589,0,0,1,0,0,
17589,Abrasax Pants +9,0,5,2,0,1282,27,0001-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,0,0,0,0,0,0,0,0,2002,2005,2003,2005,2005,2007,9,0,0,0,0,149,149,0,0,0,0,0,0,17588,0,0,0,1,0,0,
2386,Aceles Armor,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,0,0,0,0,0,123,123,0,0,0,0,0,0,0,2387,0,0,1,0,0,
2387,Aceles Armor +1,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,1,0,0,0,0,125,125,0,0,0,0,0,0,2386,2388,0,0,1,0,0,
2388,Aceles Armor +2,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,2,0,0,0,0,128,128,0,0,0,0,0,0,2387,2389,0,0,1,0,0,
2389,Aceles Armor +3,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,3,0,0,0,0,132,132,0,0,0,0,0,0,2388,2390,0,0,1,0,0,
2390,Aceles Armor +4,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,4,0,0,0,0,138,138,0,0,0,0,0,0,2389,2391,0,0,1,0,0,
2391,Aceles Armor +5,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,5,0,0,0,0,146,146,0,0,0,0,0,0,2390,2392,0,0,1,0,0,
2392,Aceles Armor +6,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,6,0,0,0,0,159,159,0,0,0,0,0,0,2391,2393,0,0,1,0,0,
2393,Aceles Armor +7,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,7,0,0,0,0,173,173,0,0,0,0,0,0,2392,2394,0,0,1,0,0,
2394,Aceles Armor +8,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,8,0,0,0,0,189,189,0,0,0,0,0,0,2393,2395,0,0,1,0,0,
2395,Aceles Armor +9,0,5,1,0,1281,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,63,23263,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,62,62,631,631,9,0,0,0,0,210,210,0,0,0,0,0,0,2394,0,0,0,1,0,0,
2844,Aceles Boots,0,5,3,0,1283,27,0000-0000-0000-1000-0000-0000-0000-0000,1500,0,1,57,7986,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9041,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,22,22,611,611,0,0,0,0,0,48,48,0,0,0,0,0,0,0,2845,0,0,1,0,0,
